사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차
2020-12,1호선,1,서울역,708925,674149,133421,123397
2020-12,1호선,10,동묘앞,98631,103368,110088,111166
2020-12,1호선,2,시청,379344,376925,49801,46696
2020-12,1호선,3,종각,576469,557323,91323,84714
2020-12,1호선,4,종로3가,305614,275379,187492,175042
2020-12,1호선,5,종로5가,284517,288101,180822,174176
2020-12,1호선,6,동대문,169229,158990,88712,87422
2020-12,1호선,7,신설동,224233,222952,85301,81327
2020-12,1호선,8,제기동,193158,189518,192893,206219
2020-12,1호선,9,청량리(서울시립대입구),264598,263765,200056,201184
2020-12,2호선,11,시청,427538,412998,36190,32133
2020-12,2호선,12,을지로입구,740332,748231,70050,65108
2020-12,2호선,13,을지로3가,359909,354405,52805,51400
2020-12,2호선,14,을지로4가,213258,209548,70918,68545
2020-12,2호선,15,동대문역사문화공원(DDP),212730,237898,38531,39678
2020-12,2호선,16,신당,236875,244293,70526,72616
2020-12,2호선,17,상왕십리,252275,245282,45333,45341
2020-12,2호선,18,왕십리(성동구청),290150,232198,36499,31616
2020-12,2호선,19,한양대,146622,150168,9555,9925
2020-12,2호선,20,뚝섬,372509,403004,41076,41751
2020-12,2호선,21,성수,610176,670995,77187,78681
2020-12,2호선,22,건대입구,629054,674812,62418,65061
2020-12,2호선,23,구의(광진구청),440286,433995,72980,75648
2020-12,2호선,24,강변(동서울터미널),560010,566810,75056,73164
2020-12,2호선,25,잠실나루,236716,228291,54118,54356
2020-12,2호선,26,잠실(송파구청),1224513,1217835,116119,110966
2020-12,2호선,27,잠실새내,353037,353625,66730,67191
2020-12,2호선,28,종합운동장,114510,125721,23283,23120
2020-12,2호선,29,삼성(무역센터),936291,946974,78989,71334
2020-12,2호선,30,선릉,987725,880230,154716,136667
2020-12,2호선,31,역삼,895543,970967,108055,107674
2020-12,2호선,32,강남,1481312,1449540,125963,111068
2020-12,2호선,33,교대(법원.검찰청),583124,648211,99995,109139
2020-12,2호선,34,서초,389004,381585,50401,49897
2020-12,2호선,35,방배,294978,308785,49637,48837
2020-12,2호선,36,사당,632606,701380,113364,109488
2020-12,2호선,37,낙성대(강감찬),523162,504896,74528,76021
2020-12,2호선,38,서울대입구(관악구청),887612,866137,129969,124398
2020-12,2호선,39,봉천,437363,403719,99677,100404
2020-12,2호선,40,신림,1263269,1221689,155870,159099
2020-12,2호선,41,신대방,507865,493271,86682,88570
2020-12,2호선,42,구로디지털단지,1179770,1188175,113736,116472
2020-12,2호선,43,대림(구로구청),484878,495956,80938,84267
2020-12,2호선,44,신도림,925108,902857,132310,124111
2020-12,2호선,45,문래,384889,393826,52836,52047
2020-12,2호선,46,영등포구청,423422,430129,73508,72319
2020-12,2호선,47,당산,353282,410307,40427,44250
2020-12,2호선,48,합정,561383,585192,45996,45518
2020-12,2호선,49,홍대입구,892596,925474,65448,62387
2020-12,2호선,50,신촌,580407,598972,83587,80591
2020-12,2호선,51,이대,221088,227075,31657,32534
2020-12,2호선,52,아현,171759,167040,46253,45923
2020-12,2호선,53,충정로(경기대입구),178326,187629,34710,34624
2020-12,2호선,54,용답,45188,45221,13477,12743
2020-12,2호선,55,신답,26417,31347,7273,7586
2020-12,2호선,56,신설동,52948,50560,22704,24425
2020-12,2호선,57,도림천,25286,26388,4966,5275
2020-12,2호선,58,양천구청,109843,119527,30430,31349
2020-12,2호선,59,신정네거리,166544,174011,46618,48322
2020-12,2호선,60,용두(동대문구청),34963,36483,17454,18439
2020-12,3호선,61,지축,58601,57545,11685,11963
2020-12,3호선,62,구파발,365087,347668,76750,72998
2020-12,3호선,63,연신내,660401,616738,179204,173704
2020-12,3호선,64,불광,271321,291596,93050,102082
2020-12,3호선,65,녹번,272569,247527,51460,51124
2020-12,3호선,66,홍제,282025,270372,97217,96848
2020-12,3호선,67,무악재,64631,64770,19245,21227
2020-12,3호선,68,독립문,104346,110634,48897,48329
2020-12,3호선,69,경복궁(정부서울청사),313296,307062,50512,47913
2020-12,3호선,70,안국,312289,320122,43248,43407
2020-12,3호선,71,종로3가,157536,183033,39865,43233
2020-12,3호선,72,을지로3가,169199,177233,39600,38544
2020-12,3호선,73,충무로,13,0,2,0
